text,word_count,summary,classification,Framework,framework_Name,doc_name,doc_link,fileTitle
xx use the following words to describe your position:  accredited supplier  chosen supplier  endorsed supplier  selected supplier x x describe your agreement as a “contract” xx present the indicative potential spend value stated in the OJEU notice as committed spend xx refer to your score or ranking in the tender process in any marketing and communications materials.,61,"Global Theme: The document serves as a comprehensive marketing toolkit for suppliers associated with Crown Commercial Service (CCS).

Key Topics:
- Utilization of the CCS supplier logo
- Press release and communications guidelines
- Promoting supplier position accurately
- Development and use of case studies
- Branding advice and promotional materials guidelines
- Essential messaging for the CCS framework

Summary: The document titled ""7319 23 Supplier Marketing Toolkit 1"" provides detailed guidance for suppliers under the CCS Digital Outcomes 6 framework (RM1043.8) on how to effectively market their position to existing and potential public sector customers. It includes advice on using the CCS supplier logo correctly, crafting effective press releases, and engaging in proper communications, ensuring all marketing materials comply with specific branding guidelines. The toolkit also emphasizes the importance of detailed and factual representations of the supplier's position and services and encourages the creation of case studies to showcase the benefits and savings achieved through the CCS agreement. Additionally, it offers various promotional materials templates and guidelines to enhance the supplier's visibility and credibility.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,https://www.crowncommercial.gov.uk/agreements/RM1043.8,7319-23-supplier-marketing-toolkit-1
"Once awarded all suppliers are considered to be equal x x refer to goods or services that you offer but that are not available under the terms of your agreement Always include specific benefits related to the goods/services you offer in your actual savings where possible. Notes to Editors Include the following text in the ‘Notes To Editors’ section of your press release: Crown Commercial Service (CCS) is an Executive Agency of the Cabinet Office, supporting the public sector to achieve maximum commercial value when procuring common goods and services.",90,"Global Theme: The document serves as a comprehensive marketing toolkit for suppliers associated with Crown Commercial Service (CCS).

Key Topics:
- Utilization of the CCS supplier logo
- Press release and communications guidelines
- Promoting supplier position accurately
- Development and use of case studies
- Branding advice and promotional materials guidelines
- Essential messaging for the CCS framework

Summary: The document titled ""7319 23 Supplier Marketing Toolkit 1"" provides detailed guidance for suppliers under the CCS Digital Outcomes 6 framework (RM1043.8) on how to effectively market their position to existing and potential public sector customers. It includes advice on using the CCS supplier logo correctly, crafting effective press releases, and engaging in proper communications, ensuring all marketing materials comply with specific branding guidelines. The toolkit also emphasizes the importance of detailed and factual representations of the supplier's position and services and encourages the creation of case studies to showcase the benefits and savings achieved through the CCS agreement. Additionally, it offers various promotional materials templates and guidelines to enhance the supplier's visibility and credibility.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,https://www.crowncommercial.gov.uk/agreements/RM1043.8,7319-23-supplier-marketing-toolkit-1
"To find out more about CCS, visit: www.crowncommercial.gov.uk Follow us on Twitter: @gov_procurement LinkedIn: www.linkedin.com/company/2827044 47319-23 (July 23)This document and the materials herein are subject to Crown copyright protection under Section 163 of the Copyright Designs and Patents Act 1988.Case studies Please take the time to develop case studies to showcase the benefits of the agreement and the savings customers have successfully achieved by working with you, as these will help other customers make the commitment to use the framework.",80,"Global Theme: The document serves as a comprehensive marketing toolkit for suppliers associated with Crown Commercial Service (CCS).

Key Topics:
- Utilization of the CCS supplier logo
- Press release and communications guidelines
- Promoting supplier position accurately
- Development and use of case studies
- Branding advice and promotional materials guidelines
- Essential messaging for the CCS framework

Summary: The document titled ""7319 23 Supplier Marketing Toolkit 1"" provides detailed guidance for suppliers under the CCS Digital Outcomes 6 framework (RM1043.8) on how to effectively market their position to existing and potential public sector customers. It includes advice on using the CCS supplier logo correctly, crafting effective press releases, and engaging in proper communications, ensuring all marketing materials comply with specific branding guidelines. The toolkit also emphasizes the importance of detailed and factual representations of the supplier's position and services and encourages the creation of case studies to showcase the benefits and savings achieved through the CCS agreement. Additionally, it offers various promotional materials templates and guidelines to enhance the supplier's visibility and credibility.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,https://www.crowncommercial.gov.uk/agreements/RM1043.8,7319-23-supplier-marketing-toolkit-1
"We encourage you to work with your category manager to develop your case studies and a template is provided in this toolkit to help you. Completed case studies should be sent to your category manager and, once approved, will be added to our website and used in our customer communications. You can also use them in your marketing activity.We hope you find this toolkit useful and we welcome your feedback.",70,"Global Theme: The document serves as a comprehensive marketing toolkit for suppliers associated with Crown Commercial Service (CCS).

Key Topics:
- Utilization of the CCS supplier logo
- Press release and communications guidelines
- Promoting supplier position accurately
- Development and use of case studies
- Branding advice and promotional materials guidelines
- Essential messaging for the CCS framework

Summary: The document titled ""7319 23 Supplier Marketing Toolkit 1"" provides detailed guidance for suppliers under the CCS Digital Outcomes 6 framework (RM1043.8) on how to effectively market their position to existing and potential public sector customers. It includes advice on using the CCS supplier logo correctly, crafting effective press releases, and engaging in proper communications, ensuring all marketing materials comply with specific branding guidelines. The toolkit also emphasizes the importance of detailed and factual representations of the supplier's position and services and encourages the creation of case studies to showcase the benefits and savings achieved through the CCS agreement. Additionally, it offers various promotional materials templates and guidelines to enhance the supplier's visibility and credibility.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,https://www.crowncommercial.gov.uk/agreements/RM1043.8,7319-23-supplier-marketing-toolkit-1
If you have any suggestions on how to further develop the toolkit to help you in your marketing and communications please email your comments and suggestions to: info@crowncommercial.gov.uk using the email subject line: marketing toolkit,35,"Global Theme: The document serves as a comprehensive marketing toolkit for suppliers associated with Crown Commercial Service (CCS).

Key Topics:
- Utilization of the CCS supplier logo
- Press release and communications guidelines
- Promoting supplier position accurately
- Development and use of case studies
- Branding advice and promotional materials guidelines
- Essential messaging for the CCS framework

Summary: The document titled ""7319 23 Supplier Marketing Toolkit 1"" provides detailed guidance for suppliers under the CCS Digital Outcomes 6 framework (RM1043.8) on how to effectively market their position to existing and potential public sector customers. It includes advice on using the CCS supplier logo correctly, crafting effective press releases, and engaging in proper communications, ensuring all marketing materials comply with specific branding guidelines. The toolkit also emphasizes the importance of detailed and factual representations of the supplier's position and services and encourages the creation of case studies to showcase the benefits and savings achieved through the CCS agreement. Additionally, it offers various promotional materials templates and guidelines to enhance the supplier's visibility and credibility.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\7319-23-Supplier-marketing-toolkit-1.pdf,https://www.crowncommercial.gov.uk/agreements/RM1043.8,7319-23-supplier-marketing-toolkit-1
"Benefits of using the RM1043.8 (Digital Outcomes 6) agreement offers bespoke services through suppliers with the right capabilities to meet your needs no restriction on the value of an individual call-off contract (the agreement has an overall Find a Tender Service (FTS) value of £813 million) our further competition process allows you to get the best supplier to meet your users needs the agreement terms and conditions follow the Public Sector Contract format, and you have scope to make changes to your call-off contract (depending on the complexity of your needs) you own the intellectual property rights and source code for the bespoke development, so you can share and re-use these with other public sector buyers our suppliers are mostly",120,"Global Theme: Benefits and capabilities of the RM1043.8 Digital Outcomes 6 framework agreement.

Key Topics:
- Bespoke services through capable suppliers.
- No restriction on individual contract value.
- Competitive process to secure the best supplier.
- Public Sector Contract format and customizable contract terms.
- Intellectual property rights ownership and reusability.
- Predominantly small and medium-sized agile suppliers.

Summary: The document titled ""Benefits RM1043 8"" details the advantages of using the RM1043.8 (Digital Outcomes 6) framework agreement. The key benefits include accessing bespoke services from capable suppliers, including SMEs, without restriction on contract value. It emphasizes the competitive process to ensure optimal supplier selection, the customizable nature of contract terms, and the ownership of intellectual property rights, facilitating reuse and sharing within the public sector. The framework supports agile development practices to meet diverse digital needs efficiently.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\Benefits RM1043_8.txt,https://www.crowncommercial.gov.uk/agreements/RM1043.8,Benefits rm1043 8
you can share and re-use these with other public sector buyers our suppliers are mostly small and medium sized businesses that use an agile approach when designing your digital products or services,32,"Global Theme: Benefits and capabilities of the RM1043.8 Digital Outcomes 6 framework agreement.

Key Topics:
- Bespoke services through capable suppliers.
- No restriction on individual contract value.
- Competitive process to secure the best supplier.
- Public Sector Contract format and customizable contract terms.
- Intellectual property rights ownership and reusability.
- Predominantly small and medium-sized agile suppliers.

Summary: The document titled ""Benefits RM1043 8"" details the advantages of using the RM1043.8 (Digital Outcomes 6) framework agreement. The key benefits include accessing bespoke services from capable suppliers, including SMEs, without restriction on contract value. It emphasizes the competitive process to ensure optimal supplier selection, the customizable nature of contract terms, and the ownership of intellectual property rights, facilitating reuse and sharing within the public sector. The framework supports agile development practices to meet diverse digital needs efficiently.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\Benefits RM1043_8.txt,https://www.crowncommercial.gov.uk/agreements/RM1043.8,Benefits rm1043 8
"RM1043.8 (Digital Outcomes 6) description: Find suppliers who can design and build bespoke digital products and services using an agile approach. These digital services can be provided by 1 person or by a team. You can also use this agreement to find: studio space to conduct user research users with the appropriate characteristics to test your service This new agreement will run alongside RM6263 Digital Specialists and Programmes. Together they will replace RM1043.7 Digital Outcomes and Specialists 5. The agreement will run for 24 months, with an optional 12 month extension.",91,"Global Theme: Finding suppliers for bespoke digital products and services using agile methodology.

Key Topics:
- Design and build of bespoke digital products and services
- Use of agile approach
- Supplier options (individuals or teams)
- Auxiliary services (studio space for user research and users for testing)
- Replacement and collaboration with previous frameworks (RM6263 Digital Specialists and Programmes and RM1043.7 Digital Outcomes and Specialists 5)
- Duration and extension of the agreement

Summary: RM1043.8, known as Digital Outcomes 6, is a framework designed to help find suppliers who can design and build tailor-made digital products and services using agile methods. Services can be provided by either individuals or teams. This agreement includes options for studio space for conducting user research and finding users with appropriate characteristics for service testing. The new agreement will run for 24 months with an option to extend for an additional 12 months. It will operate alongside RM6263 Digital Specialists and Programmes, collectively replacing RM1043.7 Digital Outcomes and Specialists 5.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\Description RM1043_8.txt,https://www.crowncommercial.gov.uk/agreements/RM1043.8,Description rm1043 8
"This is a further competition only agreement. There is no option to direct award. Each procurement can only be awarded to a single supplier. You must publish your requirements (Invitation to Tender) on Contract Award Service (CAS). This is a new service from CCS and can be accessed through your Public Procurement Gateway (PPG) account. All suppliers awarded a place on the agreement, and registered on the platform, will be able to view and respond to your requirements. For lots 1 and 3 you must follow a two-stage further competition process (stage 1: shortlisting and stage 2: further assessment).",99,"Global Theme: Guidelines for conducting further competition under the Digital Outcomes 6 framework agreement.

Key Topics: 
- Procurement process rules and restrictions
- Steps for running a further competition 
- Publishing requirements on Contract Award Service 
- Supplier evaluation and shortlisting 
- Contract awarding and feedback 

Summary: The document provides comprehensive instructions for executing procurement through further competition under the Digital Outcomes 6 framework agreement, identified by RM1043.8. It emphasizes that direct award is not an option and each procurement must be awarded to a single supplier, requiring the publication of requirements on the Contract Award Service accessible via the Public Procurement Gateway account. It outlines detailed steps for preparing, publicizing, and assessing supplier bids, including methods for shortlisting and evaluating proposals. Additionally, guidelines for providing feedback to suppliers and publishing the awarded contract are also included.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\How to buy steps RM1043_8.txt,https://www.crowncommercial.gov.uk/agreements/RM1043.8,How to buy steps rm1043 8
For lot 2 you can follow a one-stage further competition process (having first created a supplier shortlist by filtering against the studio attributes required). The basic steps to run a further competition for this agreement are:,36,"Global Theme: Guidelines for conducting further competition under the Digital Outcomes 6 framework agreement.

Key Topics: 
- Procurement process rules and restrictions
- Steps for running a further competition 
- Publishing requirements on Contract Award Service 
- Supplier evaluation and shortlisting 
- Contract awarding and feedback 

Summary: The document provides comprehensive instructions for executing procurement through further competition under the Digital Outcomes 6 framework agreement, identified by RM1043.8. It emphasizes that direct award is not an option and each procurement must be awarded to a single supplier, requiring the publication of requirements on the Contract Award Service accessible via the Public Procurement Gateway account. It outlines detailed steps for preparing, publicizing, and assessing supplier bids, including methods for shortlisting and evaluating proposals. Additionally, guidelines for providing feedback to suppliers and publishing the awarded contract are also included.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\How to buy steps RM1043_8.txt,https://www.crowncommercial.gov.uk/agreements/RM1043.8,How to buy steps rm1043 8
1. prepare a draft of your requirements 2. get approval to buy what you need 3. write and publish your requirements on Contract Award Service 4. answer supplier questions 5. review and score ‘essential’ and ‘nice-to-have’ skills and experience to create your shortlist 6. give feedback to suppliers who are not shortlisted 7. invite shortlisted suppliers to the further assessment stage 8. evaluate technical and pricing proposals and your chosen additional assessment methods to find the right supplier for your needs 9. award a contract and give feedback to unsuccessful suppliers 10. publish the contract on Contracts Finder,98,"Global Theme: Guidelines for conducting further competition under the Digital Outcomes 6 framework agreement.

Key Topics: 
- Procurement process rules and restrictions
- Steps for running a further competition 
- Publishing requirements on Contract Award Service 
- Supplier evaluation and shortlisting 
- Contract awarding and feedback 

Summary: The document provides comprehensive instructions for executing procurement through further competition under the Digital Outcomes 6 framework agreement, identified by RM1043.8. It emphasizes that direct award is not an option and each procurement must be awarded to a single supplier, requiring the publication of requirements on the Contract Award Service accessible via the Public Procurement Gateway account. It outlines detailed steps for preparing, publicizing, and assessing supplier bids, including methods for shortlisting and evaluating proposals. Additionally, guidelines for providing feedback to suppliers and publishing the awarded contract are also included.",details,RM1043.8,Digital Outcomes 6,C:\Users\Naresh.Sampara\PycharmProjects\P13_Webpilot\Data\RM1043.8\How to buy steps RM1043_8.txt,https://www.crowncommercial.gov.uk/agreements/RM1043.8,How to buy steps rm1043 8
